Index,RollingAccuracy,KSStatistic,PValue
8500,0.879,0.026,0.8881734182535203
8600,0.885,0.034,0.6101664688189142
8700,0.887,0.038,0.4659595288557257
8800,0.893,0.035,0.5728904395829821
8900,0.891,0.037,0.5005673707894058
9000,0.893,0.036,0.5362766985932181
9100,0.883,0.035,0.5728904395829821
9200,0.872,0.023,0.9542189106778983
9300,0.872,0.019,0.9937026761524456
9400,0.865,0.013,0.9999962022688547
9500,0.869,0.017,0.9987234512860412
9600,0.867,0.019,0.9937026761524456
9700,0.865,0.015,0.9998734489003387
9800,0.864,0.011,0.9999999867571524
9900,0.863,0.017,0.9987234512860412
10000,0.863,0.022,0.9690010280430694
10100,0.862,0.04,0.4006338815832625
10200,0.848,0.058,0.06917625399020766
10300,0.835,0.086,0.0012207544622917959
10400,0.828,0.122,6.669830320596686e-07
10500,0.809,0.164,3.743099241683002e-12
10600,0.797,0.196,3.289875262334598e-17
10700,0.784,0.222,5.356249099254043e-22
10800,0.767,0.257,2.0264232315663477e-29
10900,0.75,0.289,3.3470758389799365e-37
11000,0.737,0.317,8.321707198856545e-45
11100,0.722,0.324,7.969763456935227e-47
11200,0.728,0.33,1.3591194647620518e-48
11300,0.724,0.333,1.7219581232661912e-49
11400,0.718,0.334,8.609790616330956e-50
11500,0.715,0.324,7.969763456935227e-47
11600,0.714,0.323,1.5586361620357814e-46
11700,0.709,0.328,5.3277331105170406e-48
11800,0.707,0.319,2.2297558063315152e-45
11900,0.714,0.317,8.321707198856545e-45
12000,0.707,0.323,1.5586361620357814e-46
12100,0.712,0.32,1.150351290993759e-45
12200,0.714,0.324,7.969763456935227e-47
12300,0.716,0.325,4.0660830919911046e-47
12400,0.72,0.318,4.312386962685144e-45
12500,0.725,0.324,7.969763456935227e-47
12600,0.719,0.332,3.4361829016674145e-49
12700,0.721,0.331,6.841548019463371e-49
12800,0.717,0.331,6.841548019463371e-49
12900,0.707,0.334,8.609790616330956e-50
13000,0.705,0.334,8.609790616330956e-50
13100,0.72,0.331,6.841548019463371e-49
13200,0.723,0.321,5.921566070217685e-46
13300,0.717,0.317,8.321707198856545e-45
13400,0.727,0.307,5.274648198989292e-42
13500,0.723,0.299,7.847683261668956e-40
13600,0.725,0.287,1.0946236062021009e-36
13700,0.732,0.289,3.3470758389799365e-37
13800,0.736,0.296,4.9396956282970015e-39
13900,0.738,0.3,4.231712281869183e-40
14000,0.741,0.301,2.276862872642912e-40
14100,0.735,0.296,4.9396956282970015e-39
14200,0.733,0.302,1.222371081395849e-40
14300,0.737,0.308,2.7945957201067122e-42
14400,0.725,0.318,4.312386962685144e-45
14500,0.732,0.32,1.150351290993759e-45
14600,0.734,0.325,4.0660830919911046e-47
14700,0.732,0.32,1.150351290993759e-45
14800,0.734,0.317,8.321707198856545e-45
14900,0.731,0.315,3.07827504786285e-44
15000,0.735,0.314,5.900775055305609e-44
15100,0.725,0.323,1.5586361620357814e-46
15200,0.721,0.325,4.0660830919911046e-47
15300,0.72,0.331,6.841548019463371e-49
15400,0.717,0.336,2.1379657348599523e-50
15500,0.714,0.341,6.3151556458138154e-52
15600,0.708,0.343,1.5193815153747912e-52
15700,0.697,0.356,1.1582681881726136e-56
15800,0.692,0.359,1.2295379067920271e-57
15900,0.7,0.349,2.0039174275800013e-54
16000,0.697,0.348,4.146142039578868e-54
16100,0.698,0.346,1.7628312247911467e-53
16200,0.696,0.346,1.7628312247911467e-53
16300,0.7,0.338,5.261321340466556e-51
16400,0.71,0.329,2.6939327692004903e-48
16500,0.701,0.327,1.051297113041104e-47
16600,0.7,0.326,2.0698386780497703e-47
16700,0.706,0.323,1.5586361620357814e-46
16800,0.709,0.324,7.969763456935227e-47
16900,0.711,0.326,2.0698386780497703e-47
17000,0.713,0.325,4.0660830919911046e-47
17100,0.71,0.328,5.3277331105170406e-48
17200,0.697,0.344,7.427333747033019e-53
17300,0.698,0.342,3.1011084728698247e-52
17400,0.689,0.35,9.663335150774673e-55
17500,0.702,0.35,9.663335150774673e-55
